epoch,loss,val_loss,learning_rate
1,0.6228855848312378,0.42239534854888916,0.0004574578197207302
2,0.36943161487579346,0.28653326630592346,0.0004574578197207302
3,0.3026725947856903,0.24352875351905823,0.0004574578197207302
4,0.2686459422111511,0.22684526443481445,0.0004574578197207302
5,0.245780810713768,0.20377834141254425,0.0004574578197207302
6,0.22499224543571472,0.17882536351680756,0.0004574578197207302
7,0.206872820854187,0.16225339472293854,0.0004574578197207302
8,0.19345636665821075,0.14893071353435516,0.0004574578197207302
9,0.18284626305103302,0.13805589079856873,0.0004574578197207302
10,0.1751561462879181,0.129918172955513,0.0004574578197207302
11,0.16676028072834015,0.12391146272420883,0.0004574578197207302
12,0.16099567711353302,0.11845731735229492,0.0004574578197207302
13,0.1565101444721222,0.11169759929180145,0.0004574578197207302
14,0.15077021718025208,0.10860592126846313,0.0004574578197207302
15,0.14725443720817566,0.10594256222248077,0.0004574578197207302
16,0.14377763867378235,0.10456939786672592,0.0004574578197207302
17,0.14045120775699615,0.09889934957027435,0.0004574578197207302
18,0.1371183842420578,0.09642746299505234,0.0004574578197207302
19,0.1348389834165573,0.09363851696252823,0.0004574578197207302
20,0.13185560703277588,0.09171853959560394,0.0004574578197207302
21,0.13057851791381836,0.08955364674329758,0.0004574578197207302
22,0.12824691832065582,0.0879741832613945,0.0004574578197207302
23,0.1262754648923874,0.0873349979519844,0.0004574578197207302
24,0.12471085786819458,0.08521943539381027,0.0004574578197207302
25,0.12373955547809601,0.08582068979740143,0.0004574578197207302
26,0.12264982610940933,0.08583321422338486,0.0004574578197207302
27,0.12188045680522919,0.08327684551477432,0.0004574578197207302
28,0.11974119395017624,0.08229238539934158,0.0004574578197207302
29,0.1191033348441124,0.08115193992853165,0.0004574578197207302
30,0.11750849336385727,0.0813269093632698,0.0004574578197207302
31,0.11663754284381866,0.07973262667655945,0.0004574578197207302
32,0.11605760455131531,0.0795263797044754,0.0004574578197207302
33,0.11548491567373276,0.08069347590208054,0.0004574578197207302
34,0.11461693793535233,0.07944319397211075,0.0004574578197207302
35,0.11361203342676163,0.07766912877559662,0.0004574578197207302
36,0.11258076131343842,0.0767400935292244,0.0004574578197207302
37,0.11216557025909424,0.07810615748167038,0.0004574578197207302
38,0.11165653169155121,0.0764588788151741,0.0004574578197207302
39,0.1114436686038971,0.07428886741399765,0.0004574578197207302
40,0.11025593429803848,0.07570826262235641,0.0004574578197207302
41,0.10976672172546387,0.07332076132297516,0.0004574578197207302
42,0.10972396284341812,0.07505714893341064,0.0004574578197207302
43,0.1084001362323761,0.07350171357393265,0.0004574578197207302
44,0.10808970034122467,0.07306647300720215,0.0004574578197207302
45,0.10762999951839447,0.07318877428770065,0.0004574578197207302
46,0.10752447694540024,0.07182825356721878,0.0004574578197207302
47,0.10648871213197708,0.07082952558994293,0.0004574578197207302
48,0.106855608522892,0.07129265367984772,0.0004574578197207302
49,0.10635513812303543,0.07255125790834427,0.0004574578197207302
50,0.10604944825172424,0.07283342629671097,0.0004574578197207302
51,0.10533268004655838,0.07207753509283066,0.0004574578197207302
52,0.10517168045043945,0.07040023803710938,0.0004574578197207302
53,0.10487531125545502,0.07272384315729141,0.0004574578197207302
54,0.10413513332605362,0.07061098515987396,0.0004574578197207302
55,0.10338494181632996,0.06900603324174881,0.0004574578197207302
56,0.10350817441940308,0.06895029544830322,0.0004574578197207302
57,0.10372833162546158,0.0695921778678894,0.0004574578197207302
58,0.10330890119075775,0.06864407658576965,0.0004574578197207302
59,0.10289834439754486,0.07012884318828583,0.0004574578197207302
60,0.10215507447719574,0.07012826204299927,0.0004574578197207302
61,0.1022922694683075,0.06860256940126419,0.0004574578197207302
62,0.10195004940032959,0.06814347952604294,0.0004574578197207302
63,0.10148719698190689,0.06749477237462997,0.0004574578197207302
64,0.10104305297136307,0.06624224036931992,0.0004574578197207302
65,0.1010877713561058,0.06661505997180939,0.0004574578197207302
66,0.10012329369783401,0.06775335222482681,0.0004574578197207302
67,0.1000446006655693,0.06945351511240005,0.0004574578197207302
68,0.10003825277090073,0.0699828490614891,0.0004574578197207302
69,0.09986961632966995,0.06791917979717255,0.0004574578197207302
70,0.09965246170759201,0.06601731479167938,0.0002287289098603651
71,0.09956130385398865,0.06435888260602951,0.0002287289098603651
72,0.0992368534207344,0.06552667915821075,0.0002287289098603651
73,0.09896956384181976,0.06523849815130234,0.0002287289098603651
74,0.09813559800386429,0.0640755295753479,0.0002287289098603651
75,0.0983630046248436,0.06451375037431717,0.0002287289098603651
76,0.09814474731683731,0.06443481147289276,0.0002287289098603651
77,0.09792886674404144,0.06393694132566452,0.0002287289098603651
78,0.0976724624633789,0.06405942142009735,0.0002287289098603651
79,0.09768907725811005,0.0636153370141983,0.0002287289098603651
80,0.0981157198548317,0.06377872079610825,0.0002287289098603651
81,0.09786352515220642,0.06533198803663254,0.0002287289098603651
82,0.09744323790073395,0.06421387940645218,0.0002287289098603651
83,0.09717615693807602,0.06305156648159027,0.0002287289098603651
84,0.09719335287809372,0.0646895244717598,0.0002287289098603651
85,0.09703539311885834,0.06480351090431213,0.0002287289098603651
86,0.09661173820495605,0.06356120854616165,0.0002287289098603651
87,0.09680088609457016,0.06264011561870575,0.0002287289098603651
88,0.09701231122016907,0.06368705630302429,0.0002287289098603651
89,0.09710425138473511,0.06339102238416672,0.0002287289098603651
90,0.09659971296787262,0.06403832882642746,0.0002287289098603651
91,0.09638678282499313,0.06289518624544144,0.0002287289098603651
92,0.09597056359052658,0.06311804801225662,0.0002287289098603651
93,0.09585627168416977,0.06260345876216888,0.00011436445493018255
94,0.09584774821996689,0.06159641221165657,0.00011436445493018255
95,0.09561433643102646,0.06198528781533241,0.00011436445493018255
96,0.09569944441318512,0.06268075853586197,0.00011436445493018255
97,0.09543924778699875,0.06211334094405174,0.00011436445493018255
98,0.09548789262771606,0.061850521713495255,0.00011436445493018255
99,0.09549785405397415,0.06186112388968468,0.00011436445493018255
100,0.09556762874126434,0.06095762178301811,5.718222746509127e-05
101,0.0949924886226654,0.061493586748838425,5.718222746509127e-05
102,0.09475740045309067,0.06199699267745018,5.718222746509127e-05
103,0.09523661434650421,0.0615752749145031,5.718222746509127e-05
104,0.0946359857916832,0.06137838959693909,5.718222746509127e-05
105,0.0944012999534607,0.06052396818995476,5.718222746509127e-05
106,0.09553518146276474,0.060847796499729156,5.718222746509127e-05
107,0.09463391453027725,0.06151183694601059,5.718222746509127e-05
108,0.09510959684848785,0.06158022955060005,5.718222746509127e-05
109,0.09517355263233185,0.06086750701069832,5.718222746509127e-05
110,0.09491351991891861,0.06106940284371376,5.718222746509127e-05
111,0.09484360367059708,0.060824185609817505,2.8591113732545637e-05
112,0.09486693888902664,0.06038301810622215,2.8591113732545637e-05
113,0.09479151666164398,0.06089000031352043,2.8591113732545637e-05
114,0.0946873128414154,0.061227135360240936,2.8591113732545637e-05
115,0.09452451765537262,0.06089150533080101,2.8591113732545637e-05
116,0.09444979578256607,0.06120876222848892,2.8591113732545637e-05
117,0.0948096364736557,0.06070047616958618,2.8591113732545637e-05
