number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,0.2908441424369812,2026-07-04 12:07:58.465502,2026-07-04 12:11:18.606895,0 days 00:03:20.141393,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,97,0.05132957920432091,100,0.035705339163541794,0.2908441424369812,0.18909282982349396,COMPLETE
1,0.36388590931892395,2026-07-04 12:11:18.610431,2026-07-04 12:13:42.254841,0 days 00:02:23.644410,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,100,0.058459002524614334,100,0.046330440789461136,0.36388590931892395,0.20370392501354218,COMPLETE
2,0.19842088222503662,2026-07-04 12:13:42.258319,2026-07-04 12:16:04.314643,0 days 00:02:22.056324,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,91,0.034657202661037445,100,0.024132659658789635,0.19842088222503662,0.0981164276599884,COMPLETE
3,0.2104482799768448,2026-07-04 12:16:04.318319,2026-07-04 12:17:32.044913,0 days 00:01:27.726594,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,51,0.029824165627360344,61,0.02573394402861595,0.2104482799768448,0.08650864660739899,COMPLETE
4,0.23751863837242126,2026-07-04 12:17:32.047854,2026-07-04 12:19:26.793902,0 days 00:01:54.746048,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,74,0.04180876910686493,84,0.029880547896027565,0.23751863837242126,0.10781317949295044,COMPLETE
5,0.17812542617321014,2026-07-04 12:19:26.796870,2026-07-04 12:21:57.612065,0 days 00:02:30.815195,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,67,0.030084267258644104,77,0.0247126966714859,0.17812542617321014,0.13556553423404694,COMPLETE
6,0.20913760364055634,2026-07-04 12:21:57.615394,2026-07-04 12:24:27.311329,0 days 00:02:29.695935,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,71,0.03556348755955696,81,0.026716364547610283,0.20913760364055634,0.13047179579734802,COMPLETE
7,0.4213961660861969,2026-07-04 12:24:27.314835,2026-07-04 12:26:31.215619,0 days 00:02:03.900784,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,95,0.0556364431977272,100,0.051596708595752716,0.4213961660861969,0.21454592049121857,COMPLETE
8,0.5626650452613831,2026-07-04 12:26:31.219101,2026-07-04 12:28:38.195729,0 days 00:02:06.976628,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,97,0.08778165280818939,100,0.07292061299085617,0.5626650452613831,0.35489964485168457,COMPLETE
9,0.3445885181427002,2026-07-04 12:28:38.198806,2026-07-04 12:31:38.702963,0 days 00:03:00.504157,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,99,0.052249860018491745,100,0.044683992862701416,0.3445885181427002,0.2010095864534378,COMPLETE
