number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,4.184505939483643,2026-06-30 13:52:09.001061,2026-06-30 13:52:12.881269,0 days 00:00:03.880208,euclidean,81,COMPLETE
1,4.659213066101074,2026-06-30 13:52:12.881558,2026-06-30 13:52:17.058148,0 days 00:00:04.176590,euclidean,124,COMPLETE
2,3.24676251411438,2026-06-30 13:52:17.058436,2026-06-30 13:52:20.845018,0 days 00:00:03.786582,euclidean,21,COMPLETE
3,6.1758646965026855,2026-06-30 13:52:20.845337,2026-06-30 13:52:53.903353,0 days 00:00:33.058016,manhattan,145,COMPLETE
4,5.533689498901367,2026-06-30 13:52:53.903647,2026-06-30 13:52:58.565002,0 days 00:00:04.661355,euclidean,168,COMPLETE
5,4.460901260375977,2026-06-30 13:52:58.565324,2026-06-30 13:53:26.766442,0 days 00:00:28.201118,manhattan,45,COMPLETE
6,5.345201015472412,2026-06-30 13:53:26.766869,2026-06-30 13:54:02.720171,0 days 00:00:35.953302,manhattan,92,COMPLETE
7,4.2270355224609375,2026-06-30 13:54:02.720487,2026-06-30 13:54:37.127124,0 days 00:00:34.406637,manhattan,36,COMPLETE
8,4.262397289276123,2026-06-30 13:54:37.127454,2026-06-30 13:54:41.397165,0 days 00:00:04.269711,euclidean,97,COMPLETE
9,4.483781337738037,2026-06-30 13:54:41.397532,2026-06-30 13:54:45.749619,0 days 00:00:04.352087,euclidean,108,COMPLETE
