epoch,loss,val_loss
1,0.7353297472000122,0.5365825295448303
2,0.3827717900276184,0.4084055721759796
3,0.2682301104068756,0.323393851518631
4,0.22434043884277344,0.28302884101867676
5,0.20333413779735565,0.24527087807655334
6,0.1828322559595108,0.20991750061511993
7,0.1773575246334076,0.1938132345676422
8,0.1611156016588211,0.16590605676174164
9,0.1539793610572815,0.16463430225849152
10,0.14831292629241943,0.15906792879104614
11,0.14765790104866028,0.1455230861902237
12,0.142994225025177,0.14305958151817322
13,0.1380426585674286,0.12729895114898682
14,0.13378217816352844,0.1295001059770584
15,0.13242954015731812,0.11566062271595001
16,0.12235777825117111,0.11208533495664597
17,0.12277185916900635,0.10817842930555344
18,0.12438377737998962,0.10987377911806107
19,0.1206398531794548,0.1035536453127861
20,0.11511416733264923,0.09934541583061218
21,0.11450432240962982,0.09955380856990814
22,0.11432823538780212,0.0909556970000267
23,0.11141790449619293,0.0971996858716011
24,0.10969890654087067,0.08991125226020813
25,0.11090268194675446,0.09566163271665573
26,0.11224699020385742,0.09361260384321213
27,0.10733345150947571,0.08449572324752808
28,0.1089499220252037,0.08495394885540009
29,0.10298668593168259,0.07684244215488434
30,0.10065247863531113,0.08150508999824524
31,0.09770926833152771,0.07268434017896652
32,0.09839636087417603,0.08680637925863266
33,0.09807748347520828,0.07747120410203934
34,0.09744441509246826,0.0778646469116211
35,0.09693428874015808,0.07857104390859604
36,0.09995903819799423,0.07538197189569473
37,0.09938445687294006,0.07485844939947128
38,0.09707991033792496,0.07561726123094559
39,0.09458284825086594,0.07448689639568329
40,0.09146900475025177,0.06812982261180878
41,0.08929002285003662,0.06708422303199768
42,0.09338812530040741,0.07100199908018112
43,0.08947435766458511,0.0690627247095108
44,0.09014853835105896,0.06826827675104141
45,0.08864247798919678,0.0683395192027092
46,0.08838322758674622,0.06802012771368027
47,0.08840125799179077,0.06261560320854187
48,0.08774961531162262,0.06511995196342468
49,0.08837525546550751,0.06563270837068558
50,0.08957291394472122,0.06336186081171036
51,0.08487237989902496,0.06407871097326279
52,0.08520849049091339,0.06145340949296951
53,0.0920942947268486,0.06247250735759735
54,0.08299960941076279,0.06770424544811249
55,0.08790776133537292,0.06274192035198212
56,0.08655491471290588,0.06158395856618881
57,0.09316620975732803,0.09758056700229645
58,0.09060662239789963,0.08064750581979752
59,0.0869898721575737,0.06543637067079544
60,0.08418403565883636,0.06798563152551651
61,0.08564918488264084,0.06490127742290497
62,0.08156725019216537,0.0624142549932003
