number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,1.5656198263168335,2026-07-04 11:05:32.922078,2026-07-04 11:06:58.457099,0 days 00:01:25.535021,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,100,0.12573516368865967,100,0.10311780869960785,1.5656198263168335,0.9552043080329895,COMPLETE
1,1.7925169467926025,2026-07-04 11:06:58.460746,2026-07-04 11:07:55.928887,0 days 00:00:57.468141,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,98,0.1255667507648468,100,0.11185718327760696,1.7925169467926025,0.8223556280136108,COMPLETE
2,0.6102725267410278,2026-07-04 11:07:55.931772,2026-07-04 11:08:51.420298,0 days 00:00:55.488526,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,83,0.05730176717042923,93,0.04477662220597267,0.6102725267410278,0.19262470304965973,COMPLETE
3,0.7249704003334045,2026-07-04 11:08:51.423117,2026-07-04 11:09:34.095826,0 days 00:00:42.672709,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,60,0.05601225420832634,70,0.05212453380227089,0.7249704003334045,0.22110137343406677,COMPLETE
4,0.6667311191558838,2026-07-04 11:09:34.098707,2026-07-04 11:10:35.449402,0 days 00:01:01.350695,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,95,0.06404563039541245,100,0.050362154841423035,0.6667311191558838,0.2218802273273468,COMPLETE
5,0.5013381242752075,2026-07-04 11:10:35.452300,2026-07-04 11:12:00.458952,0 days 00:01:25.006652,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,100,0.0460028313100338,100,0.03891390562057495,0.5013381242752075,0.17314156889915466,COMPLETE
6,0.6781219840049744,2026-07-04 11:12:00.462699,2026-07-04 11:13:28.223755,0 days 00:01:27.761056,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,96,0.07149156928062439,100,0.055624820291996,0.6781219840049744,0.4142468273639679,COMPLETE
7,1.497218370437622,2026-07-04 11:13:28.227307,2026-07-04 11:14:04.159340,0 days 00:00:35.932033,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,46,0.12035001814365387,56,0.11757784336805344,1.497218370437622,0.8745015859603882,COMPLETE
8,2.017399787902832,2026-07-04 11:14:04.162217,2026-07-04 11:14:57.992382,0 days 00:00:53.830165,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,100,0.16032589972019196,100,0.1454349160194397,2.017399787902832,1.062921404838562,COMPLETE
9,1.3054368495941162,2026-07-04 11:14:57.995362,2026-07-04 11:16:15.266155,0 days 00:01:17.270793,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,95,0.10111689567565918,100,0.09011758118867874,1.3054368495941162,0.5629784464836121,COMPLETE
