number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,0.3102421164512634,2026-07-04 11:52:15.036264,2026-07-04 11:54:21.050654,0 days 00:02:06.014390,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,100,0.048874400556087494,100,0.030757272616028786,0.3102421164512634,0.21110279858112335,COMPLETE
1,0.335327684879303,2026-07-04 11:54:21.054369,2026-07-04 11:55:46.349106,0 days 00:01:25.294737,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,98,0.04811784625053406,100,0.03586725890636444,0.335327684879303,0.20334579050540924,COMPLETE
2,0.21602463722229004,2026-07-04 11:55:46.352108,2026-07-04 11:56:51.280670,0 days 00:01:04.928562,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,75,0.029067479074001312,76,0.0193770881742239,0.21602463722229004,0.0700390562415123,COMPLETE
3,0.21037928760051727,2026-07-04 11:56:51.283735,2026-07-04 11:57:47.846487,0 days 00:00:56.562752,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,60,0.022765982896089554,70,0.01895795203745365,0.21037928760051727,0.06238214299082756,COMPLETE
4,0.2824385464191437,2026-07-04 11:57:47.849335,2026-07-04 11:58:49.490261,0 days 00:01:01.640926,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,61,0.035549551248550415,71,0.02403166890144348,0.2824385464191437,0.07829808443784714,COMPLETE
5,0.18519853055477142,2026-07-04 11:58:49.493180,2026-07-04 12:00:25.608324,0 days 00:01:36.115144,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,66,0.021507110446691513,76,0.016962356865406036,0.18519853055477142,0.05276449769735336,COMPLETE
6,0.2045794427394867,2026-07-04 12:00:25.611636,2026-07-04 12:02:25.747846,0 days 00:02:00.136210,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,99,0.02814185433089733,100,0.019794026389718056,0.2045794427394867,0.10286838561296463,COMPLETE
7,0.3874010145664215,2026-07-04 12:02:25.751182,2026-07-04 12:03:28.295116,0 days 00:01:02.543934,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,68,0.04370535910129547,78,0.040378034114837646,0.3874010145664215,0.15711116790771484,COMPLETE
8,0.4587985873222351,2026-07-04 12:03:28.298057,2026-07-04 12:04:48.093535,0 days 00:01:19.795478,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,98,0.06783532351255417,100,0.053480688482522964,0.4587985873222351,0.26283639669418335,COMPLETE
9,0.3577570915222168,2026-07-04 12:04:48.096479,2026-07-04 12:06:54.729029,0 days 00:02:06.632550,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,92,0.04127882048487663,100,0.0331667885184288,0.3577570915222168,0.23132197558879852,COMPLETE
