number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,18.350168228149414,2026-06-30 13:26:57.427424,2026-06-30 13:26:58.985230,0 days 00:00:01.557806,euclidean,81,COMPLETE
1,15.413269996643066,2026-06-30 13:26:58.985469,2026-06-30 13:27:00.684776,0 days 00:00:01.699307,euclidean,124,COMPLETE
2,23.6308536529541,2026-06-30 13:27:00.685001,2026-06-30 13:27:02.373860,0 days 00:00:01.688859,euclidean,21,COMPLETE
3,40.945003509521484,2026-06-30 13:27:02.374162,2026-06-30 13:27:12.901847,0 days 00:00:10.527685,manhattan,145,COMPLETE
4,17.19046401977539,2026-06-30 13:27:12.902060,2026-06-30 13:27:15.205691,0 days 00:00:02.303631,euclidean,168,COMPLETE
5,34.08253479003906,2026-06-30 13:27:15.205994,2026-06-30 13:27:25.190691,0 days 00:00:09.984697,manhattan,45,COMPLETE
6,25.7841796875,2026-06-30 13:27:25.190911,2026-06-30 13:27:35.277997,0 days 00:00:10.087086,manhattan,92,COMPLETE
7,36.21465301513672,2026-06-30 13:27:35.278231,2026-06-30 13:27:45.364506,0 days 00:00:10.086275,manhattan,36,COMPLETE
8,17.163362503051758,2026-06-30 13:27:45.364795,2026-06-30 13:27:47.174084,0 days 00:00:01.809289,euclidean,97,COMPLETE
9,16.665172576904297,2026-06-30 13:27:47.174390,2026-06-30 13:27:49.181492,0 days 00:00:02.007102,euclidean,108,COMPLETE
