epoch,loss,val_loss
1,0.8153073191642761,0.6781855225563049
2,0.6803088188171387,0.6321696043014526
3,0.6011619567871094,0.6342746019363403
4,0.535068154335022,0.602668046951294
5,0.47550472617149353,0.5719432830810547
6,0.4269218444824219,0.4990546405315399
7,0.387966513633728,0.4390454888343811
8,0.35988640785217285,0.4173155725002289
9,0.3385462462902069,0.40921610593795776
10,0.32509645819664,0.40876561403274536
11,0.3148360550403595,0.41130295395851135
12,0.30565932393074036,0.42799919843673706
13,0.29928869009017944,0.4304336905479431
14,0.2920507788658142,0.4396634101867676
15,0.287447452545166,0.43705490231513977
16,0.2795591354370117,0.43863293528556824
17,0.27616018056869507,0.4476415514945984
18,0.2720354199409485,0.4461234509944916
19,0.27060672640800476,0.451131671667099
20,0.2661515772342682,0.45401352643966675
