number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,2.4128289222717285,2026-06-30 13:27:52.441031,2026-06-30 13:28:11.606905,0 days 00:00:19.165874,euclidean,81,COMPLETE
1,2.5680360794067383,2026-06-30 13:28:11.607138,2026-06-30 13:28:31.291922,0 days 00:00:19.684784,euclidean,124,COMPLETE
2,2.08487868309021,2026-06-30 13:28:31.292154,2026-06-30 13:28:49.864966,0 days 00:00:18.572812,euclidean,21,COMPLETE
3,3.4072318077087402,2026-06-30 13:28:49.865191,2026-06-30 13:31:53.175263,0 days 00:03:03.310072,manhattan,145,COMPLETE
4,2.7410106658935547,2026-06-30 13:31:53.175503,2026-06-30 13:32:14.531503,0 days 00:00:21.356000,euclidean,168,COMPLETE
5,2.6449131965637207,2026-06-30 13:32:14.531760,2026-06-30 13:35:16.360970,0 days 00:03:01.829210,manhattan,45,COMPLETE
6,3.0977585315704346,2026-06-30 13:35:16.361202,2026-06-30 13:38:18.784858,0 days 00:03:02.423656,manhattan,92,COMPLETE
7,2.5440168380737305,2026-06-30 13:38:18.785110,2026-06-30 13:41:19.914421,0 days 00:03:01.129311,manhattan,36,COMPLETE
8,2.476608991622925,2026-06-30 13:41:19.914649,2026-06-30 13:41:39.035700,0 days 00:00:19.121051,euclidean,97,COMPLETE
9,2.508357048034668,2026-06-30 13:41:39.035908,2026-06-30 13:41:58.449211,0 days 00:00:19.413303,euclidean,108,COMPLETE
