number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,8.576519966125488,2026-06-30 13:54:52.674085,2026-06-30 13:54:54.168031,0 days 00:00:01.493946,euclidean,81,COMPLETE
1,11.340860366821289,2026-06-30 13:54:54.168341,2026-06-30 13:54:57.000477,0 days 00:00:02.832136,euclidean,124,COMPLETE
2,5.862610340118408,2026-06-30 13:54:57.000894,2026-06-30 13:54:59.240558,0 days 00:00:02.239664,euclidean,21,COMPLETE
3,26.201074600219727,2026-06-30 13:54:59.241592,2026-06-30 13:55:02.393758,0 days 00:00:03.152166,manhattan,145,COMPLETE
4,15.442447662353516,2026-06-30 13:55:02.393998,2026-06-30 13:55:03.092063,0 days 00:00:00.698065,euclidean,168,COMPLETE
5,12.078266143798828,2026-06-30 13:55:03.092321,2026-06-30 13:55:05.286415,0 days 00:00:02.194094,manhattan,45,COMPLETE
6,18.87482261657715,2026-06-30 13:55:05.286610,2026-06-30 13:55:07.598214,0 days 00:00:02.311604,manhattan,92,COMPLETE
7,10.065635681152344,2026-06-30 13:55:07.598414,2026-06-30 13:55:09.862742,0 days 00:00:02.264328,manhattan,36,COMPLETE
8,9.335470199584961,2026-06-30 13:55:09.862944,2026-06-30 13:55:10.468547,0 days 00:00:00.605603,euclidean,97,COMPLETE
9,9.696416854858398,2026-06-30 13:55:10.468786,2026-06-30 13:55:10.997954,0 days 00:00:00.529168,euclidean,108,COMPLETE
