number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,1.014477014541626,2026-07-04 11:17:07.956966,2026-07-04 11:22:11.597622,0 days 00:05:03.640656,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,99,0.06806688755750656,100,0.051063474267721176,1.014477014541626,0.24448531866073608,COMPLETE
1,1.0116773843765259,2026-07-04 11:22:11.601135,2026-07-04 11:25:45.108009,0 days 00:03:33.506874,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,100,0.06912214308977127,100,0.057329170405864716,1.0116773843765259,0.25296327471733093,COMPLETE
2,0.7043957710266113,2026-07-04 11:25:45.111079,2026-07-04 11:29:08.508467,0 days 00:03:23.397388,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,85,0.0462581142783165,95,0.03506382182240486,0.7043957710266113,0.15095581114292145,COMPLETE
3,0.8546983003616333,2026-07-04 11:29:08.511492,2026-07-04 11:31:22.101463,0 days 00:02:13.589971,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,53,0.04309312626719475,63,0.039198264479637146,0.8546983003616333,0.17770534753799438,COMPLETE
4,0.8528481125831604,2026-07-04 11:31:22.104414,2026-07-04 11:33:07.710868,0 days 00:01:45.606454,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,40,0.05605565384030342,50,0.04382127523422241,0.8528481125831604,0.18515793979167938,COMPLETE
5,0.6402926445007324,2026-07-04 11:33:07.713776,2026-07-04 11:37:01.390650,0 days 00:03:53.676874,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,69,0.040678635239601135,79,0.0320318341255188,0.6402926445007324,0.14557552337646484,COMPLETE
6,0.6305568218231201,2026-07-04 11:37:01.393942,2026-07-04 11:42:01.841854,0 days 00:05:00.447912,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,100,0.04344208538532257,100,0.03196250647306442,0.6305568218231201,0.1477230042219162,COMPLETE
7,3.366330862045288,2026-07-04 11:42:01.845379,2026-07-04 11:43:20.050324,0 days 00:01:18.204945,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,26,0.12030161917209625,36,0.11754057556390762,3.366330862045288,0.5957643985748291,COMPLETE
8,2.098011016845703,2026-07-04 11:43:20.053333,2026-07-04 11:45:41.649003,0 days 00:02:21.595670,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,58,0.11843997985124588,68,0.10473424196243286,2.098011016845703,0.4875277280807495,COMPLETE
9,1.4090911149978638,2026-07-04 11:45:41.651947,2026-07-04 11:47:45.227644,0 days 00:02:03.575697,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,31,0.08276264369487762,41,0.07162589579820633,1.4090911149978638,0.3509087562561035,COMPLETE
