number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,3.5528528690338135,2026-06-30 13:25:27.923040,2026-06-30 13:25:30.424916,0 days 00:00:02.501876,euclidean,81,COMPLETE
1,4.257960796356201,2026-06-30 13:25:30.425228,2026-06-30 13:25:32.786264,0 days 00:00:02.361036,euclidean,124,COMPLETE
2,2.984036684036255,2026-06-30 13:25:32.786679,2026-06-30 13:25:34.889729,0 days 00:00:02.103050,euclidean,21,COMPLETE
3,5.816169738769531,2026-06-30 13:25:34.890061,2026-06-30 13:25:50.875354,0 days 00:00:15.985293,manhattan,145,COMPLETE
4,5.14444637298584,2026-06-30 13:25:50.875570,2026-06-30 13:25:53.252806,0 days 00:00:02.377236,euclidean,168,COMPLETE
5,4.310379981994629,2026-06-30 13:25:53.253027,2026-06-30 13:26:08.707696,0 days 00:00:15.454669,manhattan,45,COMPLETE
6,5.157131195068359,2026-06-30 13:26:08.707908,2026-06-30 13:26:24.049889,0 days 00:00:15.341981,manhattan,92,COMPLETE
7,4.016215801239014,2026-06-30 13:26:24.050171,2026-06-30 13:26:39.485993,0 days 00:00:15.435822,manhattan,36,COMPLETE
8,3.698612689971924,2026-06-30 13:26:39.486212,2026-06-30 13:26:41.535774,0 days 00:00:02.049562,euclidean,97,COMPLETE
9,3.982419967651367,2026-06-30 13:26:41.535994,2026-06-30 13:26:43.558847,0 days 00:00:02.022853,euclidean,108,COMPLETE
