number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,3.0108180046081543,2026-07-04 13:05:19.815662,2026-07-04 13:06:15.532348,0 days 00:00:55.716686,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,100,0.18154270946979523,100,0.15767765045166016,3.0108180046081543,0.8469183444976807,COMPLETE
1,3.4180703163146973,2026-07-04 13:06:15.535912,2026-07-04 13:06:54.349297,0 days 00:00:38.813385,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,100,0.1922435462474823,100,0.17818893492221832,3.4180703163146973,0.8311615586280823,COMPLETE
2,1.2253820896148682,2026-07-04 13:06:54.352351,2026-07-04 13:07:32.541612,0 days 00:00:38.189261,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,100,0.07962792366743088,100,0.06658602505922318,1.2253820896148682,0.38817888498306274,COMPLETE
3,1.4426801204681396,2026-07-04 13:07:32.544344,2026-07-04 13:08:01.439917,0 days 00:00:28.895573,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,60,0.07578881829977036,70,0.07219860702753067,1.4426801204681396,0.40164539217948914,COMPLETE
4,1.3192875385284424,2026-07-04 13:08:01.443715,2026-07-04 13:08:40.931271,0 days 00:00:39.487556,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,100,0.08736477047204971,100,0.07360906153917313,1.3192875385284424,0.40167611837387085,COMPLETE
5,1.3016504049301147,2026-07-04 13:08:40.936694,2026-07-04 13:09:22.888419,0 days 00:00:41.951725,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,74,0.07220543175935745,84,0.06537897884845734,1.3016504049301147,0.41040048003196716,COMPLETE
6,1.7088918685913086,2026-07-04 13:09:22.891729,2026-07-04 13:10:13.797605,0 days 00:00:50.905876,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,100,0.1082078292965889,100,0.08930692076683044,1.7088918685913086,0.4887872636318207,COMPLETE
7,2.49726939201355,2026-07-04 13:10:13.800074,2026-07-04 13:10:41.289847,0 days 00:00:27.489773,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,58,0.13334502279758453,68,0.13087579607963562,2.49726939201355,0.6357032656669617,COMPLETE
8,5.275457382202148,2026-07-04 13:10:41.293573,2026-07-04 13:11:18.885768,0 days 00:00:37.592195,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,99,0.26564663648605347,100,0.2504254877567291,5.275457382202148,1.3792346715927124,COMPLETE
9,2.445533275604248,2026-07-04 13:11:18.888859,2026-07-04 13:12:13.770507,0 days 00:00:54.881648,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,91,0.13574787974357605,100,0.12402484565973282,2.445533275604248,0.6010690927505493,COMPLETE
