number,value,datetime_start,datetime_complete,duration,params_batch_norm,params_dropout_rate,params_l2_reg,params_latent_dim,params_learning_rate,user_attrs_best_epoch,user_attrs_best_val_loss,user_attrs_epochs_trained,user_attrs_val_error_mean,user_attrs_val_error_p99,user_attrs_val_error_std,state
0,1.9514636993408203,2026-07-04 12:34:25.718826,2026-07-04 12:36:14.404199,0 days 00:01:48.685373,True,0.011616722433639893,8.661761457749353e-05,12,0.00018408992080552527,100,0.11640169471502304,100,0.09436644613742828,1.9514636993408203,0.5353893041610718,COMPLETE
1,2.305009365081787,2026-07-04 12:36:14.408004,2026-07-04 12:37:36.184252,0 days 00:01:21.776248,False,0.06084844859190755,5.2475643163223785e-05,12,0.0002049268011541737,100,0.1270148903131485,100,0.11359837651252747,2.305009365081787,0.5905197858810425,COMPLETE
2,1.0850915908813477,2026-07-04 12:37:36.187369,2026-07-04 12:39:00.926930,0 days 00:01:24.739561,False,0.03993475643167195,5.1423443841361164e-05,8,0.0021576967455896826,99,0.06331462413072586,100,0.05097556859254837,1.0850915908813477,0.287295937538147,COMPLETE
3,1.2453358173370361,2026-07-04 12:39:00.932338,2026-07-04 12:39:51.702844,0 days 00:00:50.770506,False,0.06092275383467414,9.767211400638387e-06,32,0.0023628864184236428,48,0.06216605007648468,58,0.05834642052650452,1.2453358173370361,0.28559747338294983,COMPLETE
4,1.1109713315963745,2026-07-04 12:39:51.705795,2026-07-04 12:41:13.281344,0 days 00:01:21.575549,False,0.06234221521788219,5.200680211778109e-05,24,0.0013353819088790589,100,0.06614070385694504,100,0.05287681147456169,1.1109713315963745,0.26377129554748535,COMPLETE
5,0.9710317254066467,2026-07-04 12:41:13.284395,2026-07-04 12:43:04.328506,0 days 00:01:51.044111,True,0.0176985004103839,1.959828624191452e-05,8,0.0036832964384234204,99,0.05578777194023132,100,0.04773630201816559,0.9710317254066467,0.23810239136219025,COMPLETE
6,1.0356740951538086,2026-07-04 12:43:04.332163,2026-07-04 12:45:02.914547,0 days 00:01:58.582384,True,0.02818484499495253,8.021969807540397e-05,16,0.0008356499023325525,95,0.06957172602415085,100,0.05390234664082527,1.0356740951538086,0.2777020037174225,COMPLETE
7,2.7307136058807373,2026-07-04 12:45:02.918106,2026-07-04 12:45:48.193589,0 days 00:00:45.275483,False,0.15425406933718916,7.404465173409036e-06,24,0.001732053535845956,43,0.12190113216638565,53,0.11883192509412766,2.7307136058807373,0.5885721445083618,COMPLETE
8,3.000115394592285,2026-07-04 12:45:48.197820,2026-07-04 12:47:10.078752,0 days 00:01:21.880932,False,0.1459212356676128,6.375574713552131e-05,8,0.00035684261232554244,97,0.1639663726091385,100,0.148356631398201,3.000115394592285,0.7593777775764465,COMPLETE
9,1.8051663637161255,2026-07-04 12:47:10.084255,2026-07-04 12:49:12.792013,0 days 00:02:02.707758,True,0.10454656587639882,4.2754101835854966e-05,32,0.0006901506581791928,95,0.10029114037752151,100,0.08927063643932343,1.8051663637161255,0.44666340947151184,COMPLETE
