epoch,loss,val_loss
1,0.5182912349700928,0.2388683706521988
2,0.180152028799057,0.1254042536020279
3,0.1087290495634079,0.0891207605600357
4,0.08545830100774765,0.07484860718250275
5,0.07335446029901505,0.0652606338262558
6,0.06503602862358093,0.05854339897632599
7,0.058778028935194016,0.05324583500623703
8,0.05411853641271591,0.04914211854338646
9,0.05028194561600685,0.045661620795726776
10,0.04705438390374184,0.042756423354148865
11,0.04410223662853241,0.040250081568956375
12,0.041709255427122116,0.03846411034464836
13,0.03968033194541931,0.036608800292015076
14,0.0379321463406086,0.0351661816239357
15,0.036359526216983795,0.033734697848558426
16,0.034945882856845856,0.03247983381152153
17,0.033752065151929855,0.03140518441796303
18,0.032708361744880676,0.03048117458820343
19,0.03171318396925926,0.029530320316553116
20,0.030820271000266075,0.028797894716262817
21,0.029997771605849266,0.02806904725730419
22,0.029245272278785706,0.027491072192788124
23,0.028502319008111954,0.026806548237800598
24,0.02787870541214943,0.02631480246782303
25,0.02728288434445858,0.025679048150777817
26,0.02668328583240509,0.02520456165075302
27,0.026168538257479668,0.02478911355137825
28,0.025605103000998497,0.024237709119915962
29,0.025073299184441566,0.02382943592965603
30,0.024653594940900803,0.023511789739131927
31,0.024120712652802467,0.02303229831159115
32,0.023728884756565094,0.022647589445114136
33,0.023385651409626007,0.02228640392422676
34,0.02301090955734253,0.02199101448059082
35,0.022665593773126602,0.02164478600025177
36,0.022313717752695084,0.02129908837378025
37,0.02206633985042572,0.021117689087986946
38,0.02170085348188877,0.020810699090361595
39,0.021416181698441505,0.020638881251215935
40,0.02114262618124485,0.020336691290140152
41,0.020886769518256187,0.020169135183095932
42,0.020583420991897583,0.019888250157237053
43,0.020320367068052292,0.0196553822606802
44,0.020052168518304825,0.019457481801509857
45,0.019875219091773033,0.019251801073551178
46,0.01968192495405674,0.019137177616357803
47,0.01942385733127594,0.018734004348516464
48,0.019166577607393265,0.018675312399864197
49,0.01899505965411663,0.018447188660502434
50,0.01878260262310505,0.01819506473839283
51,0.018598342314362526,0.018108585849404335
52,0.018403716385364532,0.017795106396079063
53,0.01823410578072071,0.01768062636256218
54,0.018090184777975082,0.01746441423892975
55,0.01790902204811573,0.017258645966649055
56,0.017764180898666382,0.017054278403520584
57,0.01760672777891159,0.01700647920370102
58,0.017468133941292763,0.0168551504611969
59,0.017299208790063858,0.016583772376179695
60,0.017178621143102646,0.016822997480630875
61,0.01709911786019802,0.01649155281484127
62,0.016914047300815582,0.016253460198640823
63,0.016789138317108154,0.016340790316462517
64,0.01667378842830658,0.016059067100286484
65,0.016531523317098618,0.01600532978773117
66,0.016432102769613266,0.015742691233754158
67,0.016262035816907883,0.015663066878914833
68,0.01621541753411293,0.015563704073429108
69,0.016073942184448242,0.015550625510513783
70,0.016017800197005272,0.015316056087613106
71,0.015902576968073845,0.01528649590909481
72,0.015786470845341682,0.015150396153330803
73,0.01569693721830845,0.015175816603004932
74,0.015620395541191101,0.014997337944805622
75,0.015548116527497768,0.014915692619979382
76,0.01539109367877245,0.014883765950798988
77,0.015338736586272717,0.014820748940110207
78,0.015299535356462002,0.014729687944054604
79,0.015185640193521976,0.014780651777982712
80,0.015103870071470737,0.014573674649000168
81,0.015039990656077862,0.014609647914767265
82,0.014953927136957645,0.014525544829666615
83,0.014886601828038692,0.01450696587562561
84,0.014835190027952194,0.014489413239061832
85,0.014766406267881393,0.014476180076599121
86,0.014652158133685589,0.014273477718234062
87,0.014588355086743832,0.014278626069426537
88,0.01451676245778799,0.014255565591156483
89,0.01449388638138771,0.014284488745033741
90,0.014413590542972088,0.014058046974241734
91,0.014298982918262482,0.014040338806807995
92,0.014243388548493385,0.014089252799749374
93,0.014251885004341602,0.014113122597336769
94,0.0142115643247962,0.014066120609641075
95,0.01414166297763586,0.013825720176100731
96,0.014034676365554333,0.013797307386994362
97,0.013991698622703552,0.013760389760136604
98,0.013937026262283325,0.01391356810927391
99,0.01388536300510168,0.013588834553956985
100,0.01379536371678114,0.013710623607039452
