epoch,loss,val_loss
1,0.8870052695274353,0.6793814897537231
2,0.46180662512779236,0.37958860397338867
3,0.2713976502418518,0.27090004086494446
4,0.1926335245370865,0.21060891449451447
5,0.15324270725250244,0.16563604772090912
6,0.1263754665851593,0.12084567546844482
7,0.10273405909538269,0.08944174647331238
8,0.08672699332237244,0.07466721534729004
9,0.07716619223356247,0.06648202240467072
10,0.07015392929315567,0.06237787753343582
11,0.06344377994537354,0.05736896023154259
12,0.05810077115893364,0.05417585372924805
13,0.0550835095345974,0.051144979894161224
14,0.051548704504966736,0.04898759722709656
15,0.04774652421474457,0.04607633128762245
16,0.04580353945493698,0.04459722712635994
17,0.0425528921186924,0.04245968535542488
18,0.03985470533370972,0.040763333439826965
19,0.03799866512417793,0.03945760056376457
20,0.035720065236091614,0.0379086509346962
21,0.03401709347963333,0.03658101707696915
22,0.03280288726091385,0.035767365247011185
23,0.03313998132944107,0.036793362349271774
24,0.03331838920712471,0.03589237481355667
25,0.03126249089837074,0.03382604941725731
26,0.03037205897271633,0.03315490856766701
27,0.02905735932290554,0.03222966939210892
28,0.02886033058166504,0.032377973198890686
29,0.027919944375753403,0.030828364193439484
30,0.02688509412109852,0.030308891087770462
31,0.02634621225297451,0.029976243153214455
32,0.025620102882385254,0.02922397293150425
33,0.02498803660273552,0.028791341930627823
34,0.024226227775216103,0.028036270290613174
35,0.024180036038160324,0.028080904856324196
36,0.02355526201426983,0.02727254293859005
37,0.023608556017279625,0.027373317629098892
38,0.022996950894594193,0.026530396193265915
39,0.022843165323138237,0.026366202160716057
40,0.02158081717789173,0.025652296841144562
41,0.021348027512431145,0.025218600407242775
42,0.020176012068986893,0.02461608499288559
43,0.019936155527830124,0.024349350482225418
44,0.019159095361828804,0.023862315341830254
45,0.01902155391871929,0.023691315203905106
46,0.0183305274695158,0.02306947112083435
47,0.018085898831486702,0.02291174605488777
48,0.017505362629890442,0.022405356168746948
49,0.01744050346314907,0.022338954731822014
50,0.016990598291158676,0.022086424753069878
51,0.017027216032147408,0.021916944533586502
52,0.016552086919546127,0.021548982709646225
53,0.01679988019168377,0.02139640599489212
54,0.016429150477051735,0.021351682022213936
55,0.01675817184150219,0.0212416835129261
56,0.016066379845142365,0.021144507452845573
57,0.015839556232094765,0.020536847412586212
58,0.01518890168517828,0.020407171919941902
59,0.014956170693039894,0.02001187764108181
60,0.014642961323261261,0.019638024270534515
61,0.01458319928497076,0.019341250881552696
62,0.01473165675997734,0.01934913732111454
63,0.014880120754241943,0.01921977661550045
64,0.015345009043812752,0.019878830760717392
65,0.014832615852355957,0.018929101526737213
66,0.01468331553041935,0.019075213000178337
67,0.01413389015942812,0.018298503011465073
68,0.014270066283643246,0.019509896636009216
69,0.013500898145139217,0.01778552308678627
70,0.01304932963103056,0.018055332824587822
71,0.012414065189659595,0.017232706770300865
72,0.012219139374792576,0.017110442742705345
73,0.012021742761135101,0.0171689260751009
74,0.011878798715770245,0.01689719781279564
75,0.011867085471749306,0.01750466227531433
76,0.011767658405005932,0.017233090475201607
77,0.011941986158490181,0.01747506484389305
78,0.011586270295083523,0.016909515485167503
79,0.011399977840483189,0.016567667946219444
80,0.011030009016394615,0.015976576134562492
81,0.011158615350723267,0.016121642664074898
82,0.011246370151638985,0.015781041234731674
83,0.011484098620712757,0.015937654301524162
84,0.011276005767285824,0.015314999036490917
85,0.011667242273688316,0.015169991180300713
86,0.011133609339594841,0.015554161742329597
87,0.011935116723179817,0.016060588881373405
88,0.011161796748638153,0.01566952094435692
89,0.011439165100455284,0.015145719982683659
90,0.010416001081466675,0.015057437121868134
91,0.010268688201904297,0.015004735440015793
92,0.01012092549353838,0.01487402617931366
93,0.010448954999446869,0.015030315145850182
94,0.010258074849843979,0.014456462115049362
95,0.010563496500253677,0.014865455217659473
96,0.010851568542420864,0.014683126471936703
97,0.010616155341267586,0.01421514991670847
98,0.010650107637047768,0.013774756342172623
99,0.009873451665043831,0.013829968869686127
100,0.009860731661319733,0.013849860988557339
