number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,6.792448043823242,2026-06-30 13:49:52.941290,2026-06-30 13:49:55.570151,0 days 00:00:02.628861,euclidean,81,COMPLETE
1,9.019868850708008,2026-06-30 13:49:55.570518,2026-06-30 13:49:58.364718,0 days 00:00:02.794200,euclidean,124,COMPLETE
2,3.7892568111419678,2026-06-30 13:49:58.364936,2026-06-30 13:50:00.719551,0 days 00:00:02.354615,euclidean,21,COMPLETE
3,22.972633361816406,2026-06-30 13:50:00.719756,2026-06-30 13:50:20.318638,0 days 00:00:19.598882,manhattan,145,COMPLETE
4,13.99395751953125,2026-06-30 13:50:20.318857,2026-06-30 13:50:23.227884,0 days 00:00:02.909027,euclidean,168,COMPLETE
5,8.186732292175293,2026-06-30 13:50:23.228128,2026-06-30 13:50:49.616946,0 days 00:00:26.388818,manhattan,45,COMPLETE
6,14.549966812133789,2026-06-30 13:50:49.617251,2026-06-30 13:51:17.710907,0 days 00:00:28.093656,manhattan,92,COMPLETE
7,7.619336128234863,2026-06-30 13:51:17.711191,2026-06-30 13:51:50.602101,0 days 00:00:32.890910,manhattan,36,COMPLETE
8,7.768383502960205,2026-06-30 13:51:50.602418,2026-06-30 13:51:55.631279,0 days 00:00:05.028861,euclidean,97,COMPLETE
9,8.254955291748047,2026-06-30 13:51:55.631566,2026-06-30 13:52:00.879904,0 days 00:00:05.248338,euclidean,108,COMPLETE
