number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,state
0,2.6086132526397705,2026-06-30 13:44:33.484931,2026-06-30 13:44:40.181159,0 days 00:00:06.696228,euclidean,81,COMPLETE
1,2.884416341781616,2026-06-30 13:44:40.181372,2026-06-30 13:44:47.011698,0 days 00:00:06.830326,euclidean,124,COMPLETE
2,2.449009418487549,2026-06-30 13:44:47.011919,2026-06-30 13:44:53.873818,0 days 00:00:06.861899,euclidean,21,COMPLETE
3,3.9009037017822266,2026-06-30 13:44:53.874032,2026-06-30 13:46:00.897611,0 days 00:01:07.023579,manhattan,145,COMPLETE
4,3.2534005641937256,2026-06-30 13:46:00.897839,2026-06-30 13:46:09.253554,0 days 00:00:08.355715,euclidean,168,COMPLETE
5,3.1925086975097656,2026-06-30 13:46:09.253783,2026-06-30 13:47:13.850276,0 days 00:01:04.596493,manhattan,45,COMPLETE
6,3.5102884769439697,2026-06-30 13:47:13.850487,2026-06-30 13:48:19.684105,0 days 00:01:05.833618,manhattan,92,COMPLETE
7,3.0984606742858887,2026-06-30 13:48:19.684354,2026-06-30 13:49:24.356965,0 days 00:01:04.672611,manhattan,36,COMPLETE
8,2.740642547607422,2026-06-30 13:49:24.357185,2026-06-30 13:49:32.106962,0 days 00:00:07.749777,euclidean,97,COMPLETE
9,2.7655224800109863,2026-06-30 13:49:32.107204,2026-06-30 13:49:39.845173,0 days 00:00:07.737969,euclidean,108,COMPLETE
